Title,Date,Sentiment,Sentiment_Score
Reserve Bank makes $21-billion cut to US treasury holdings in March,2020-05-17,Neutral,0.9992771744728088
"Stimulus 2.0: Banks will monitor solvency, guarantees cool credit risk fear",2020-05-15,Neutral,0.9991704225540161
"Equitas SFB posts 8.4% rise in FY20 pre-tax profit, income up 22%",2020-05-14,Positive,0.9999998807907104
RBI googly on adherence to new Press Note 3 norms puts AIFs in a bind,2020-05-14,Neutral,0.999935507774353
NBFC yields yet to show contraction in spreads after govt measures,2020-05-14,Negative,0.9629185199737549
"Sitharaman gives liquidity boost of Rs 75,000 cr to shadow banks, MFIs",2020-05-13,Neutral,0.7275188565254211
"Kotak Bank profit before tax slips 10.6% at Rs 2,674 cr for March 2020 qtr",2020-05-13,Negative,0.9997984766960144
"Differentiated bank holdco norms on cards; Bandhan, IDFC First may benefit",2020-05-12,Positive,1.0
Bad bank may start with Rs 60K-crore NPAs; govt may put in Rs 10K crore,2020-05-12,Neutral,0.9999779462814331
"Some MSMEs may need deep restructuring, not just liquidity: Union Bank",2020-05-11,Neutral,0.9926536083221436
"IBA considering proposal to set up AMC and AIF, takeover NPAs from PSBs",2020-05-11,Neutral,0.999658465385437
"Not offering any emergency loan through YONO platform, clarifies SBI",2020-05-10,Neutral,0.9968357682228088
Bond yields expected to jump 15-20 bps on govt's extra borrowing,2020-05-10,Positive,0.9944562911987305
ICICI Bank pre-tax profit up 82% in Q4; provides heavily for Covid-19,2020-05-09,Positive,1.0
Rs 411-crore fraud: SBI approaches CBI as three loan defaulters flee India,2020-05-09,Neutral,0.9995155334472656
Covid-19 impact: SBI Cards' pre-tax profit dips 71% to Rs 112 cr in Q4 FY20,2020-05-09,Negative,0.9999850988388062
Bank credit up 6.74% at Rs 102.69 trn; deposits grow 9.82% to Rs 137.11 trn,2020-05-08,Positive,0.999967098236084
PNB Housing Finance cuts lending rates by 15 bps for existing customers,2020-05-08,Negative,0.7083178162574768
Lockdown 3.0: Banks may need more regulatory support amid Covid-19 crisis,2020-05-08,Neutral,0.9576205015182495
"Covid-19 crisis: It's time for concrete revival plan, says SBI chairman",2020-05-08,Neutral,0.9999685287475586
YES Bank auditor red-flags multiple breaches of RBI's norms in FY20,2020-05-08,Negative,0.9267386198043823
Public sector banks sanctioned Rs 5.66 trn in loans during March-April: FM,2020-05-07,Neutral,0.9994619488716125
Bigger rise in cash in circulation in Jan-Apr than entire 2019: RBI,2020-05-07,Neutral,0.8930215835571289
RBL Bank's pre-tax profit declines 58% in Q4 over higher provisioning,2020-05-07,Negative,0.9999982118606567
"SBI cuts lending rate by 15 bps, launches scheme for senior citizens",2020-05-07,Neutral,0.9975416660308838
Microfinance institutions on a knife-edge with collections taking a big hit,2020-05-07,Negative,0.798047661781311
Covid-19: PNB opens emergency credit line for MSMEs to enhance liquidity,2020-05-07,Positive,0.9843389987945557
"YES Bank posts Rs 4,766-crore pre-tax loss in Q4; gross NPAs at 16.8%",2020-05-06,Neutral,0.7153586745262146
SBI to grant moratorium to NBFCs on case-by-case basis amid Covid-19 crisis,2020-05-06,Neutral,0.994733452796936
Delinquency in credit card industry improved by 5 bps in 2019: Report,2020-05-06,Positive,0.9996751546859741
"Large stimulus may attract sovereign rating downgrade, say experts",2020-05-06,Negative,0.6428965330123901
Covid-19 impact: Loss of fee income likely to add to lenders' woes,2020-05-06,Negative,0.9999992847442627
Delinquencies in the credit card industry improved by 5 bps in 2019,2020-05-06,Positive,0.999995231628418
Axis Bank's Q4 loss reflects rise in systemic risks in banking sector: S&P,2020-05-06,Negative,0.9999988079071045
Slowdown blues: Incremental credit flow drops 64% to Rs 6.04 trn in FY20,2020-05-05,Negative,0.9983782768249512
West Bengal's SLBC to increase rural loans from Rs 4400 cr to Rs 10000 cr,2020-05-05,Neutral,0.5229532122612
"Covid-19 impact: Motor, health segments see decline in March premiums",2020-05-04,Negative,0.9999786615371704
Covid-19 crisis: SBI's 10% term loan customers opt for moratorium on EMIs,2020-05-04,Neutral,0.764609694480896
Covid-19 crisis: RBI may extend moratorium on bank loans by 90 more days,2020-05-04,Neutral,0.7098087072372437
Ind-AS increases provisioning pain for NBFCs amid Covid-19 pandemic,2020-05-04,Negative,0.9181233048439026
"Allow restructuring of loans, ask raters not to downgrade: NBFCs to RBI",2020-05-04,Neutral,0.9942217469215393
As banker it is my first job to be safe: IDFC First Bank CEO V Vaidyanathan,2020-05-03,Neutral,0.9951573014259338
"More than 90% CKP Co-op Bank depositors to get back money, says RBI",2020-05-03,Neutral,0.9996103644371033
"BoB NPAs surge six-fold, Indian Bank sees four-times rise in 6 years: RTI",2020-05-03,Positive,0.9989284873008728
"RBI guv Das chastises banks not doing enough on lending, NBFC liquidity",2020-05-03,Neutral,0.9824424982070923
RBI cancels CKP Co-op Bank's licence on adverse financial position,2020-05-02,Negative,0.9914006590843201
"RBI governor discusses NBFC liquidity, moratorium with bank chiefs",2020-05-02,Neutral,0.9998412132263184
Yes Bank appoints Neeraj Dhawan as chief risk officer with immediate effect,2020-05-02,Neutral,0.9995051622390747
"Fitch affirms Axis Bank's IDR at BB-plus with stable outlook, downgrades VR",2020-05-02,Negative,0.37915048003196716
RBI governor Shaktikanta Das to hold meeting with bank chiefs today,2020-05-02,Neutral,0.9999334812164307
"Discretionary loans, cross-selling likely to reduce after moratorium",2020-05-02,Negative,0.8317047357559204
"IDFC First Bank to boost capital by Rs 2,000 cr through preferential issue",2020-05-01,Positive,0.9969158172607422
"Regulatory benefits for banks helping mutual fund industry, says RBI",2020-05-01,Positive,1.0
"Covid-19: Average card spend falls 25% as shopping, travel take back seat",2020-04-30,Negative,0.9614567160606384
Fitch downgrades viability rating for four banks on Covid-19 impact,2020-04-30,Negative,0.9978899359703064
NBFCs ask FM to offer credit guarantees to banks on loans extended by them,2020-04-30,Neutral,0.9999362230300903
"Sidbi, Nabard compete to lend to top MFIs under RBI's liquidity support",2020-04-30,Neutral,0.999277651309967
"State Bank of India completes promotion exercise, elevates 14 to Dy MD",2020-04-30,Neutral,0.9999536275863647
One month of bank merger: Coronavirus lockdown proves a dampener,2020-04-29,Negative,0.9999698400497437
"PNB Housing Finance CEO resigns, search on for successor in full swing",2020-04-29,Neutral,0.9964229464530945
"Lockdown 2.0: Coronavirus-hit units get Rs 10,000 crore from banks",2020-04-29,Neutral,0.9999675750732422
Indian Bank sees new opportunities with larger footprint after merger,2020-04-29,Positive,0.999944806098938
"Over Rs 68,600-crore loans of wilful defaulters written off, says RBI",2020-04-28,Neutral,0.999843955039978
"Promoter, PE stake may go up in private banks; IndusInd, HDFC Bank to gain",2020-04-28,Neutral,0.9957465529441833
"Axis Bank set to acquire 29% stake in Max Life Insurance for Rs 1,592 crore",2020-04-28,Neutral,0.9999920129776001
"Banks borrow Rs 2,000 crore from RBI under mutual fund liquidity window",2020-04-28,Neutral,0.9998741149902344
"RBI opens Rs 50,000-crore special liquidity window to support mutual funds",2020-04-28,Neutral,0.9999953508377075
Credit disbursement: Banks face pressure to avoid large-scale slippages,2020-04-28,Negative,0.9999926090240479
IndusInd Bank reports 18% yoy dip in pre-tax profits; sequentially down 76%,2020-04-27,Negative,0.9999018907546997
"RBI buys and sells bonds worth Rs 10,000 crore in 'Operation Twist'",2020-04-27,Neutral,0.9999924898147583
YES Bank scam: CBI gets custody of Kapil and Dheeraj Wadhawan till April 29,2020-04-27,Neutral,0.9999978542327881
Govt needs clear 'entry and exit plan' on fiscal expansion: Shaktikanta Das,2020-04-27,Neutral,0.999774158000946
"RBI to open Rs 50,000-cr special liquidity window to support mutual funds",2020-04-27,Neutral,0.9999895095825195
NBFCs' foreign lenders face repayment risks as US dollar becomes stronger,2020-04-27,Negative,0.9999698400497437
IBA demands recast of loan accounts of small firms amid Covid-19 crisis,2020-04-26,Neutral,0.9516603350639343
"From Tata Power to TVS, over 320 firms queue up for moratorium breather",2020-04-24,Neutral,0.9998643398284912
"After pay cuts in corporate sector, youth look to P2P platforms for loans",2020-04-24,Neutral,0.9999730587005615
Forward premia slide as markets see dollar crunch despite crude oil mayhem,2020-04-24,Neutral,0.9994505047798157
Covid-19 crisis: SBI to disburse Rs 700 cr to MSMEs in Mumbai by June,2020-04-24,Neutral,0.9999960660934448
Currency in circulation continues to remain high amid Covid-19 lockdown,2020-04-23,Positive,0.9677022099494934
Coronavirus impact: RBI's TLTRO 2.0 gets cold-shoulder from banks,2020-04-23,Neutral,0.9892033934593201
"Govt pushes lending, asks banks for daily reports of loans allowed: Report",2020-04-23,Neutral,0.9999881982803345
Weak economic outlook to give small finance banks more time to get listed,2020-04-23,Negative,0.9999998807907104
Covid-19 impact: Banks ignore RBI's TLTRO in order to avoid NBFC exposure,2020-04-23,Neutral,0.9961534142494202
MFIN may pool securities to access funds for small MFIs under TLTRO 2.0,2020-04-23,Neutral,0.9999845027923584
"Sidbi to provide liquidity support to NBFCs, MFIs with 90-day term loans",2020-04-23,Neutral,0.9998874664306641
"RBI to buy and sell Rs 10,000 cr in bonds to manage its balance sheet",2020-04-23,Neutral,0.9998900890350342
"Quick approval, grace period: Medical insurance process eased amid Covid-19",2020-04-23,Positive,0.9999239444732666
Arrears' collection will be tricky,2020-04-23,Negative,0.7471516728401184
HFCs: Home alone,2020-04-23,Neutral,0.9999537467956543
NBFCs may fall by the wayside without a major forbearance package,2020-04-23,Neutral,0.9999016523361206
"RBI asks banks to continue with incentives on crop loans, govt to foot bill",2020-04-22,Neutral,0.9999103546142578
"Fearing NPAs, banks shoot off notices to malls for loan repayment",2020-04-21,Negative,0.9996212720870972
HDFC cuts prime lending rate by 15 bps; move to benefit home loan customers,2020-04-21,Positive,0.9364097118377686
RBI extends deployment time limit to 45 days from 30 under TLTRO 2.0,2020-04-21,Neutral,0.9999191761016846
ICICI Bank confirms exposure to Singapore-based oil trader Hin Leong,2020-04-21,Neutral,0.9999233484268188
Singapore's Caladium ups stake at Bandhan Bank by 1% via market purchases,2020-04-21,Neutral,0.9998996257781982
Moratorium may lead to greater build-up of credit losses for banks: Moody's,2020-04-21,Negative,0.998892605304718
ICICI Bank seeks impounding of ships operated by HLT unit Ocean Tankers,2020-04-21,Neutral,0.9988822340965271
RBI's liquidity support to NBFCs negligible: Emkay Global Research,2020-04-20,Neutral,0.9999290704727173
Covid-19 impact: RBI increases centre's WMA limit sharply to Rs 2 trillion,2020-04-20,Positive,0.7635906338691711
"Covid-19: Post paycuts, young salaried look up to P2P platforms for loans",2020-04-20,Neutral,0.999991774559021
Brookfield's equity infusion crucial for Indostar Capital in Q1 FY21: CARE,2020-04-20,Neutral,0.9999758005142212
NBFCs stare at 30-70% fall in FY21 earnings due to coronavirus pandemic,2020-04-20,Negative,0.9999991655349731
Kotak Mahindra Bank to consider raising equity capital,2020-04-19,Neutral,0.9991681575775146
"Nabard to review fundings of Regional Rural Banks, co-op banks on April 20",2020-04-19,Neutral,0.9999644756317139
Reopening of services to depend on permission from local authorities: NBFCs,2020-04-19,Neutral,0.9725328087806702
RBI may cap reverse repo rate to ensure liquidity translates into credit,2020-04-19,Neutral,0.9999550580978394
"RBI moratorium: 10% provisioning may shave Rs 35,000 cr off bank profits",2020-04-19,Negative,0.7411925792694092
RBI's steps for NBFCs may not boost credit flow to broader economy: Moody's,2020-04-19,Negative,0.9995318651199341
"HDFC Bank board finalises Aditya Puri's successor, waits for RBI nod",2020-04-18,Neutral,0.9999278783798218
Punjab & Sind Bank declares Golden Jubilee Hotels as fraud account,2020-04-18,Neutral,0.9313914775848389
Covid-19 crisis: Each bank to decide on granting moratorium to NBFCs,2020-04-18,Neutral,0.9993663430213928
"HDFC Banks' PBT rises 2.5% to Rs 9,174 crore; makes higher provisions",2020-04-18,Positive,0.9986053109169006
IBA to discuss the issue of giving a moratorium to NBFCs on Saturday,2020-04-18,Neutral,0.9995394945144653
RBI gives NBFCs more time to restructure commercial real estate loans,2020-04-17,Positive,0.8956798911094666
Muthoot Finance to re-open all branches across India from April 20,2020-04-17,Neutral,0.999909520149231
"RBI promises liquidity support to NBFCs, MFIs dealing with cashflow issues",2020-04-17,Neutral,0.9998915195465088
"Covid-19: MSMEs cautiously welcome RBI measures, exporters want more",2020-04-17,Neutral,0.6700298190116882
"RBI steps increase lending, but sector-specific package must: Bankers",2020-04-17,Neutral,0.9998420476913452
"RBI has made life a bit easier for NBFCs, MFIs amid Covid-19 pandemic",2020-04-17,Positive,0.988145112991333
"RBI measures sufficient, not substantial; Guv doing balancing act: Experts",2020-04-17,Neutral,0.947502076625824
"Covid-19: RBI slashes reverse repo rate by 25 bps, no change in repo rate",2020-04-17,Neutral,0.9999874830245972
Covid-19 impact: Banks raise concern over fresh NPAs of Rs 50K crore,2020-04-16,Negative,0.9999351501464844
Default-wary banks say won't use RBI funds for low-rated companies,2020-04-16,Neutral,0.9991067051887512
Lenders want more time to finalise working capital needs of large firms,2020-04-15,Neutral,0.9984569549560547
Decoding the bullishness on ICICI Bank as other lenders follow caution,2020-04-15,Negative,0.8192485570907593
Banks to seek extension of moratorium on loan repayments beyond June,2020-04-15,Neutral,0.9931448698043823
"Covid-19 outbreak, YES Bank rescue make small banks vulnerable: Moody's",2020-04-14,Negative,0.9869733452796936
"RBI wants banks to take call on package, moratorium extension for NBFCs",2020-04-14,Neutral,0.9999716281890869
Indian banks issue gag orders to employees over overcrowding: Reports,2020-04-14,Neutral,0.9998170733451843
Low consumption deepens SBI Cards' woes as Covid-19 lockdown gets extended,2020-04-14,Positive,0.7898642420768738
Private lenders may lose deposits to PSBs due to YES Bank bailout: Report,2020-04-14,Negative,0.9992803931236267
Covid-19 impact: Moody's takes rating action on three Indian NBFCs,2020-04-14,Neutral,0.9998726844787598
NBFC association to RBI: One-time loan restructuring need of the hour,2020-04-13,Neutral,0.9993559718132019
ADB triples financial aid for members to $20 billion to fight virus,2020-04-13,Positive,0.9999997615814209
Deposits from microbanking customers continue to be strong: Bandhan Bank,2020-04-13,Positive,0.9999995231628418
"Max Life Insurance, YES Bank extend bancassurance partnership for 5 years",2020-04-13,Neutral,0.9999799728393555
Bandhan Bank's FY20 deposits rise 32%; 60% jump in loans and advances,2020-04-13,Positive,0.9999957084655762
China central bank hikes stake in HDFC amid a sharp correction in shares,2020-04-12,Negative,0.8703898787498474
RBI to tighten private banks' succession planning with stricter timeline,2020-04-12,Neutral,0.7066571116447449
"Post merger, PNB gets Irdai nod to retain stake in two life insurance cos",2020-04-12,Neutral,0.999991774559021
RBI should start buying corporate bonds to provide liquidity: Deepak Parekh,2020-04-11,Neutral,0.9999011754989624
Covid-19 woes: NBFC sector staring at another bout of liquidity challenge,2020-04-11,Negative,0.9998875856399536
Plea in SC challenging RBI circular on 3-month moratorium on loan repayment,2020-04-11,Negative,0.9921430349349976
As many as 10 mn borrowers can't benefit from moratorium. Here's why,2020-04-11,Neutral,0.797100841999054
NBFCs have to repay debt worth Rs 1.75 trillion by June 2020: CRISIL,2020-04-11,Neutral,0.9999202489852905
Coronavirus outbreak: Bank credit growth falls sharply to 6.1% in FY20,2020-04-11,Negative,0.9999918937683105
Public sector banks overtake private banks in fresh loan sanctions,2020-04-11,Negative,0.75765460729599
Bank credit growth slumps to 5-decade low of 6.14% in FY20 over low demand,2020-04-10,Negative,0.9999951124191284
NBFCs to face liquidity crunch on lack of clarity on RBI moratorium: Crisil,2020-04-10,Negative,0.9999949932098389
"Coronavirus impact: Credit growth likely to remain modest, says RBI",2020-04-10,Negative,0.7614738941192627
Bank of Baroda trims MCLRs by 0.15% across tenors; cuts term deposit rates,2020-04-09,Neutral,0.9907112717628479
Covid-19: Retail lending may not remain steady source of business for banks,2020-04-09,Negative,0.9991868138313293
Irdai rejects general insurers' call for blanket easing of solvency margins,2020-04-09,Negative,0.7952810525894165
'Covid-19 hangs over future like spectre': RBI in Monetary Policy Report,2020-04-09,Neutral,0.9998952150344849
"RBI to examine buyback of outstanding amount of Rs 84,574 cr in AT-1 bonds",2020-04-08,Neutral,0.9999802112579346
Irdai grants exemptions to merged banks on corporate agency matters,2020-04-08,Neutral,0.9966427087783813
"IDBI Bank plans to raise Rs 7,500 cr via rupee bond in current fiscal",2020-04-08,Neutral,0.9999834299087524
"Cash-strapped DHFL not to make any payment to lenders, bondholders",2020-04-08,Neutral,0.9977453351020813
NBFC-MFIs seek clarity from RBI on 3-month moratorium on loans,2020-04-07,Neutral,0.9988701939582825
"SBI reduces MCLR by 35 bps, cuts savings rate by 25 bps on all deposits",2020-04-07,Neutral,0.9977667331695557
Rush hour and tougher questions ahead for both Mint Road and banks,2020-04-07,Neutral,0.9971461892127991
"Coronavirus crisis to hit Indian, Chinese, Indonesian banks hard, says S&P",2020-04-07,Neutral,0.959762692451477
Kotak Mahindra Bank deposits grow 20% YoY to Rs 2.59 trillion in Q4,2020-04-06,Positive,0.9999921321868896
Covid-19 impact: Confusion over moratorium norms hit smaller MFIs hard,2020-04-06,Negative,0.9998028874397278
"Covid-19: Amid economic slump, banks' credit costs, NPAs to rise in 2020",2020-04-06,Negative,0.9978682994842529
Covid-19 relief: Staggered 180-day bad-loan breather on cards for banks,2020-04-05,Positive,0.9439395666122437
"PNB looks to tap market in Q3FY21; may raise capital via FPO, rights issue",2020-04-05,Neutral,0.9999598264694214
HDFC Bank's advances rise 21% in March quarter; deposits go up 24%,2020-04-04,Positive,0.9999876022338867
Moody's puts IndusInd Bank's issuer ratings on review for downgrade,2020-04-03,Negative,0.9461649656295776
"RBI shortens forex, money market trading hours amid coronavirus lockdown",2020-04-03,Neutral,0.999854564666748
SBI warns employees of action over social media posts against bank,2020-04-03,Neutral,0.9197438955307007
Covid-19 relief: Citi Bank releases FAQ on deferred EMIs and its impact,2020-04-03,Neutral,0.9998762607574463
Coronavirus impact: Rating agencies see more pain for banks and NBFCs,2020-04-02,Negative,0.999995231628418
Why the three-month moratorium on your home loan EMI may not be a good idea,2020-04-02,Negative,0.9058302640914917
"Covid19: Banks, NBFCs to see increase in stressed assets in FY21, says Icra",2020-04-02,Neutral,0.9559761881828308
Covid-19 relief: HDFC Bank releases FAQ on deferred EMIs and its impact,2020-04-02,Neutral,0.9993581175804138
Covid-19 relief: SBI relaxes payment timeline for one time settlement,2020-04-02,Neutral,0.6158275604248047
Covid-19 relief: You can defer 3 EMIs but that may be a very costly option,2020-04-02,Neutral,0.8195499181747437
RBI moratorium on term and working capital loans may hurt business,2020-04-02,Negative,0.999992847442627
"EMI moratorium: No big gains for borrowers, banks to charge interest later",2020-04-01,Negative,0.8018196821212769
Indian Bank allots 520.5 mn shares to Allahabad Bank shareholders,2020-04-01,Neutral,0.9999914169311523
Most private banks choose 'opt-in' option on loan repayment moratorium,2020-04-01,Neutral,0.9999792575836182
Merger of 10 PSU banks into 4 effective from today; 6 banks cease to exist,2020-04-01,Neutral,0.9990622401237488
Coronavirus outbreak: Consolidation in PSB space now a reality,2020-04-01,Negative,0.8616688251495361
Non-food loan growth pace decelerates to 7.3% in February 2020 from 13.2%,2020-03-31,Negative,0.9998598098754883
Bank mergers: Allahabad Bank branches are now Indian Bank branches,2020-03-31,Neutral,0.9999972581863403
IDBI Bank grants moratorium on term loans amid Covid-19 disruption,2020-03-31,Negative,0.7978662848472595
RBI Moratorium: NBFCs stare at asset liability management challenges,2020-03-31,Negative,0.9999988079071045
Govt extends term of RBI Deputy Governor B P Kanungo by one year,2020-03-31,Neutral,0.999987006187439
"IndusInd Bank updates analysts on coronavirus impact, bad loans scenario",2020-03-30,Neutral,0.9999897480010986
Union Bank of India reduces lending rates by 75 bps in line with RBI cut,2020-03-30,Neutral,0.9853672981262207
Ensure enough cash to meet cash demand post salary transfers: Govt to banks,2020-03-30,Neutral,0.6631203889846802
RBI changes SLBC convenors over merger of 10 PSBs into 4 from April 1,2020-03-30,Neutral,0.9999911785125732
"Bank of Baroda cuts personal, retail loan rates by 75 bps to 7.25%",2020-03-30,Neutral,0.9939395189285278
Coronavirus lockdown: IBBI gives time-limit breather for IBC cases,2020-03-29,Neutral,0.9998260140419006
"Bank of India cuts MCLR up to 25 bps across category, deposit rate cut next",2020-03-29,Neutral,0.9960818886756897
"Defaulting promoters may get lifeline, lenders may defer pledged share sale",2020-03-29,Neutral,0.8887726068496704
Banks face operational hurdles in implementing 90-day loan moratorium,2020-03-29,Negative,0.999994158744812
Banks face operational hurdles in implementing 90-day loan moratorium,2020-03-29,Negative,0.999994158744812
Indian Bank launches mobile ATM to help public deal with Covid-19 crisis,2020-03-29,Neutral,0.9912219047546387
Keep banking channels up and running; maintain smooth cash withdrawals: FM,2020-03-29,Positive,0.9009811282157898
SBI raises $100 mn via green bonds amid volatile market conditions,2020-03-29,Neutral,0.6407262086868286
"Covid-19: Bank employees seek transportation, police protection for working",2020-03-28,Neutral,0.9987950325012207
A bazooka of liquidity & ventilator for credit: RBI's response to covid-19,2020-03-28,Neutral,0.9981764554977417
RBI relief package to help sustain businesses during coronavirus: Bankers,2020-03-27,Neutral,0.9988588094711304
"Realty firms see liquidity improving, demand boost over RBI rate cut",2020-03-27,Positive,0.9999995231628418
"Moratorium a good option for the cash-starved, banks to take final call",2020-03-27,Neutral,0.9583765864372253
SBI cuts lending rate by 75 bps as RBI introduces liquidity package,2020-03-27,Neutral,0.9989200830459595
NBFCs to use RBI's liquidity boost to focus on refinancing debt obligations,2020-03-27,Positive,0.9545295238494873
RBI opens up intervention avenue in offshore rupee derivative market,2020-03-27,Neutral,0.7458106279373169
Corporate bonds get Rs 1-trn relief as coronavirus ignites large sell-offs,2020-03-27,Positive,0.7211615443229675
Coronavirus relief: SBI takes cue from RBI; cuts lending rates by 75 bps,2020-03-27,Positive,0.68669593334198
The life and times of YES Bank's flamboyant and self-absorbed Rana Kapoor,2020-03-27,Neutral,0.999969482421875
Coronavirus: RBI extends deadline to meet last tranche of CCB by 6 mnths,2020-03-27,Neutral,0.9999738931655884
"Coronavirus impact: SBI loan repayment worth Rs 60,000 cr may be deferred",2020-03-27,Neutral,0.9999724626541138
"PM, FM, industry welcome RBI 'bazooka' of rate cut, liquidity measures",2020-03-27,Neutral,0.9948170781135559
RBI's rate cut provides the much-needed balm to revive the economy,2020-03-27,Positive,0.9999854564666748
Coronavirus impact: Fitch cuts banks' score of operating environment,2020-03-27,Neutral,0.6591953039169312
ESAF Small Finance Bank gets Sebi approval to float Rs 976 crore IPO,2020-03-26,Neutral,0.998974084854126
"With a new ad campaign, YES Bank aims to regain its lost credibility",2020-03-26,Negative,0.9985398054122925
"YES Bank board clears Rs 5,000 cr capital raising plan in multiple tranches",2020-03-26,Neutral,0.9999948740005493
Banks plan to shut down most branches during coronavirus lockdown: Report,2020-03-26,Neutral,0.9977838397026062
"Covid-19 crisis: UBI sets up emergency funding window for corporates, MSMEs",2020-03-26,Neutral,0.9915640354156494
Tamil Nadu warns pvt banks against collecting dues from small borrowers,2020-03-26,Negative,0.9270526170730591
Coronavirus: Banks offer fresh lines of credit to SME firms amid lockdown,2020-03-25,Neutral,0.9988617897033691
Coronavirus: Pressure mounts on govt to defer PSB merger amid lockdown,2020-03-25,Negative,0.9999946355819702
Indian Bank announces special emergency loan schemes to address lockdown,2020-03-25,Neutral,0.9923955202102661
Covid-19 impact: Banks want NPA forbearance for next two quarters or more,2020-03-25,Neutral,0.9612299799919128
Writedown of YES Bank's additional AT-I bonds will result in risk aversion,2020-03-24,Negative,0.99996018409729
Stark regulatory approach: Bailout for YES Bank; nothing for PMC Bank,2020-03-24,Neutral,0.997611403465271
Out of cash: How the ATM ecosystem continues to be mired in a quicksand,2020-03-24,Neutral,0.8666643500328064
"Rebuilding confidence, asset quality: Kathpalia's tasks at IndusInd Bank",2020-03-24,Positive,0.9998173117637634
IndusInd Bank appoints Sumant Kathpalia as Managing Director and CEO,2020-03-24,Neutral,0.9989978671073914
HDFC Bank to name chief executive Aditya Puri's successor before April,2020-03-24,Neutral,0.9998555183410645
RBI extends priority sector classification for bank loans to NBFCs,2020-03-23,Neutral,0.9999954700469971
MFI operations come to halt in lockdown districts; biz severely impacted,2020-03-23,Negative,0.9999986886978149
"RBI advances OMO date, announces repo of Rs 1 trn in two tranches",2020-03-23,Neutral,0.9999953508377075
Covid-19: RBI advances purchase of govt bonds to March 26 from March 30,2020-03-23,Neutral,0.9999713897705078
"Covid-19 impact: HDFC, ICICI urge customers to use digital banking services",2020-03-23,Neutral,0.9998960494995117
"Statsguru: From SBI to ICICI Bank, lenders come to YES Bank's rescue",2020-03-23,Neutral,0.9999786615371704
An opportunity in Covid-19 crisis: Revisit all loan repayment contracts,2020-03-22,Positive,0.9999722242355347
How RBI set up war-room in just one day amid coronavirus outbreak,2020-03-22,Neutral,0.9966416358947754
"Coronavirus: Banks to ensure cash withdrawals, remittances at branches",2020-03-22,Neutral,0.9999833106994629
Covid-19: Banks brace for downing shutters in case cities go into lockdown,2020-03-22,Neutral,0.9997768998146057
Indian Bank urges customers to go digital to keep Coronavirus at bay,2020-03-21,Neutral,0.9999562501907349
RBI extends curbs on PMC Bank by 3 months as it works on revival plan,2020-03-21,Neutral,0.9999988079071045
RBI extends regulatory restrictions on PMC Bank by 3 months till June,2020-03-21,Neutral,0.9998220801353455
